,TRNUNT,TRNPI1,TRNPQ1,EquipmentID,min_odo,max_odo,mean_odo,min_mean_variance,max_mean_variance,variance_of_variances,odo_change,Count
88,1608,ULSD,17573.5,1608,502.8,590632.9,530964.9124158445,59667.98758415552,530462.1124158445,470794.12483168894,590130.1,15150.0
89,1609,ULSD,15636.890000000001,1609,15.7,607842.2,554958.9944083305,52883.20559166942,554943.2944083306,502060.08881666115,607826.5,15684.0
90,1610,ULSD,16599.39000000002,1610,453937.3,567869.6,507981.00844537205,59888.59155462793,54043.70844537206,-5844.8831092558685,113932.29999999999,12421.0
91,1611,ULSD,13657.31999999999,1611,183395.5,519457.8,475618.1985809649,43839.60141903511,292222.6985809649,248383.09716192976,336062.3,10641.0
92,1612,ULSD,15317.400000000021,1612,489217.3,612465.8,549322.484862845,63143.315137155005,60105.18486284505,-3038.1302743099513,123248.50000000006,14983.0
93,1613,ULSD,15642.749999999995,1613,481.7,575147.2,526277.2214431296,48869.97855687037,525795.5214431296,476925.54288625927,574665.5,14233.0
94,1614,ULSD,14961.780000000006,1614,462963.5,570791.8,514344.5068901745,56447.29310982552,51381.006890174525,-5066.286219650996,107828.30000000005,14049.0
95,1615,ULSD,13374.690000000002,1615,434582.0,529497.8,484493.07806073315,45004.72193926689,49911.078060733154,4906.356121466262,94915.80000000005,12644.0
96,1616,ULSD,11651.970000000005,1616,466571.5,552379.9,508874.7645014461,43505.13549855392,42303.2645014461,-1201.8709971078206,85808.40000000002,9668.0
97,1617,ULSD,19011.15999999999,1617,467600.9,591628.5,524536.0954553983,67092.40454460168,56935.195455398294,-10157.209089203388,124027.59999999998,15953.0
98,1618,ULSD,19253.03999999998,1618,78674.0,572320.4,504027.45894984744,68292.94105015259,425353.45894984744,357060.51789969485,493646.4,17883.0
99,1619,ULSD,16236.460000000003,1619,484961.5,590744.7,536277.7815465779,54466.918453422026,51316.28154657793,-3150.636906844098,105783.19999999995,16902.0
100,1620,ULSD,18354.669999999995,1620,11.6,577262.4,518371.0459520358,58891.35404796421,518359.44595203584,459468.0919040716,577250.8,11549.0
101,1621,ULSD,15648.760000000006,1621,468479.1,575708.8,521776.878865897,53931.92113410303,53297.77886589704,-634.1422682059929,107229.70000000007,12856.0
102,1622,ULSD,5952.91,1622,516759.2,526931.8,521581.06357758574,5350.736422414309,4821.863577585726,-528.8728448285838,10172.600000000035,928.0
103,1623,ULSD,16796.309999999994,1623,13.5,578057.4,520189.6466522163,57867.7533477837,520176.1466522163,462308.3933044326,578043.9,13845.0
104,1624,ULSD,13208.070000000002,1624,478635.6,583455.3,533887.1388345255,49568.161165474565,55251.538834525505,5683.37766905094,104819.70000000007,11549.0
105,1625,ULSD,18852.63,1625,469015.9,594012.6,532727.0348826718,61285.565117328195,63711.13488267176,2425.5697653435636,124996.69999999995,15383.0
106,1626,ULSD,18168.890000000007,1626,6291.6,602611.5,538306.321026619,64305.17897338094,532014.7210266191,467709.54205323814,596319.9,12546.0
107,1627,ULSD,16814.21,1627,454627.7,564858.3,516115.45422976464,48742.845770235406,61487.75422976463,12744.908459529222,110230.60000000003,12613.0
108,1628,ULSD,20493.85000000001,1628,450671.9,588288.4,522861.44982424914,65426.950175750884,72189.54982424912,6762.5996484982315,137616.5,17638.0
109,1629,ULSD,13534.440000000002,1629,406017.3,513338.4,457270.83231982886,56067.56768017117,51253.53231982887,-4814.035360342299,107321.10000000003,9505.0
110,1630,ULSD,17963.410000000007,1630,436246.0,561726.2,503505.22577506455,58220.9742249354,67259.22577506455,9038.25155012915,125480.19999999995,16547.0
111,1631,ULSD,14423.770000000008,1631,441225.0,541460.9,494913.73541508435,46547.16458491568,53688.735415084346,7141.570830168668,100235.90000000002,11865.0
112,1632,ULSD,18049.050000000014,1632,424280.4,545368.7,486937.6619954511,58431.03800454887,62657.26199545106,4226.223990902188,121088.29999999993,14493.0
113,1633,ULSD,17165.319999999992,1633,442258.8,558260.2,506969.3450348918,51290.854965108156,64710.54503489181,13419.690069783654,116001.39999999997,15901.0
114,1634,ULSD,18812.87,1634,436.3,570651.8,517987.1859245753,52664.61407542473,517550.8859245753,464886.2718491506,570215.5,17186.0
115,1635,ULSD,13053.240000000013,1635,20238.7,545606.9,498809.4527438993,46797.44725610071,478570.7527438993,431773.3054877986,525368.2000000001,12792.0
